wavenumber, 25C 0_ MeOH, 25C 20MeOH 1WEEK, 50C 0_ MeOH 1WEEK, 50C 0_MeOH 4WEEK, 50C 10MeOH 4WEEK, 50C 20MeOH 1WEEK, 50C 20MeOH 4WEEK, 80C 0_MeOH  4WEEK, 80C 0_MeOH 1WEEK, 80C 10MeOH 1WEEK, 80C 10_MeOH 4WEEK, 80C 20ME 1WEEK, 80C 20MeOH 1WEEK, 80C 20_MeOH 4WEEK
532.2568,0,0,0,0,0,0,0,0,0.1342852,0,0,0,0,0
534.1853,0,0,0,0,0,0,0,0,0.1332895,0,0,0,0,0
536.1138,0,0,0,0,0,0,0,0,0.1318767,0,0,0,0,0
538.0422,0,0,0,0,0,0,0,0,0.130913,0,0,0,0,0
539.9707,0,0,0,0,0,0,0,0,0.1295578,0,0,0,0,0
541.8992,0,0,0,0,0,0,0,0,0.1289486,0,0,0,0,0
543.8276,0,0,0,0,0,0,0,0,0.1281807,0,0,0,0,0
545.7561,0,0,0,0,0,0,0,0,0.1262314,0,0,0,0,0
547.6846,0,0,0,0,0,0,0,0,0.1244738,0,0,0,0,0
549.613,0,0,0,0,0,0,0,0,0.1244068,0,0,0,0,0
551.5415,0,0,0,0,0,0,0,0,0.1257082,0,0,0,0,0
553.47,0,0,0,0,0,0,0,0,0.1272458,0,0,0,0,0
555.3984,0,0,0,0,0,0,0,0,0.1288221,0,0,0,0,0
557.3269,0,0,0,0,0,0,0,0,0.1304871,0,0,0,0,0
559.2554,0,0,0,0,0,0,0,0,0.1325376,0,0,0,0,0
561.1838,0,0,0,0,0,0,0,0,0.1345551,0,0,0,0,0
563.1123,0,0,0,0,0,0,0,0,0.136161,0,0,0,0,0
565.0408,0,0,0,0,0,0,0,0,0.1364555,0,0,0,0,0
566.9692,0,0,0,0,0,0,0,0,0.1347635,0,0,0,0,0
568.8977,0,0,0,0,0,0,0,0,0.133628,0,0,0,0,0
570.8262,0,0,0,0,0,0,0,0,0.1345465,0,0,0,0,0
572.7546,0,0,0,0,0,0,0,0,0.1337385,0,0,0,0,0
574.6831,0,0,0,0,0,0,0,0,0.1328679,0,0,0,0,0
576.6116,0,0,0,0,0,0,0,0,0.1319947,0,0,0,0,0
578.54,0,0,0,0,0,0,0,0,0.1306155,0,0,0,0,0
580.4685,0,0,0,0,0,0,0,0,0.1294989,0,0,0,0,0
582.397,0,0,0,0,0,0,0,0,0.1277215,0,0,0,0,0
584.3254,0,0,0,0,0,0,0,0,0.1260801,0,0,0,0,0
586.2539,0,0,0,0,0,0,0,0,0.1253452,0,0,0,0,0
588.1824,0,0,0,0,0,0,0,0,0.1255036,0,0,0,0,0
590.1108,0,0,0,0,0,0,0,0,0.1263509,0,0,0,0,0
592.0393,0,0,0,0,0,0,0,0,0.1264674,0,0,0,0,0
593.9678,0,0,0,0,0,0,0,0,0.1268357,0,0,0,0,0
595.8962,0,0,0,0,0,0,0,0,0.1282465,0,0,0,0,0
597.8247,0,0,0,0,0,0,0,0,0.1302883,0,0,0,0,0
599.7532,0,0,0,0,0,0,0,0,0.1319432,0,0,0,0,0
